tag_as_of_date,pool_as_of_date,universe_name,ts_code,name,industry,market,exchange,match_reason
20250101,20250101,hs300,000063.SZ,中兴通讯,通信设备,主板,SZSE,CPO/光模块;PCB/服务器/高速连接
20250101,20250101,hs300,000100.SZ,TCL科技,元器件,主板,SZSE,CPO/光模块;PCB/服务器/高速连接;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,hs300,000725.SZ,京东方Ａ,元器件,主板,SZSE,CPO/光模块;PCB/服务器/高速连接;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,hs300,000938.SZ,紫光股份,IT设备,主板,SZSE,PCB/服务器/高速连接;存储/HBM/先进封装
20250101,20250101,hs300,000977.SZ,浪潮信息,IT设备,主板,SZSE,PCB/服务器/高速连接;存储/HBM/先进封装
20250101,20250101,hs300,002049.SZ,紫光国微,半导体,主板,SZSE,半导体设备/材料;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,hs300,002179.SZ,中航光电,元器件,主板,SZSE,CPO/光模块;PCB/服务器/高速连接;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,hs300,002180.SZ,纳思达,IT设备,主板,SZSE,PCB/服务器/高速连接;存储/HBM/先进封装
20250101,20250101,hs300,002236.SZ,大华股份,IT设备,主板,SZSE,PCB/服务器/高速连接;存储/HBM/先进封装
20250101,20250101,hs300,002241.SZ,歌尔股份,元器件,主板,SZSE,CPO/光模块;PCB/服务器/高速连接;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,hs300,002371.SZ,北方华创,半导体,主板,SZSE,半导体设备/材料;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,hs300,002415.SZ,海康威视,IT设备,主板,SZSE,PCB/服务器/高速连接;存储/HBM/先进封装
20250101,20250101,hs300,002459.SZ,晶澳科技,电气设备,主板,SZSE,芯片设计/功率半导体
20250101,20250101,hs300,002463.SZ,沪电股份,元器件,主板,SZSE,CPO/光模块;PCB/服务器/高速连接;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,hs300,002475.SZ,立讯精密,元器件,主板,SZSE,CPO/光模块;PCB/服务器/高速连接;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,hs300,002601.SZ,龙佰集团,化工原料,主板,SZSE,半导体设备/材料
20250101,20250101,hs300,002648.SZ,卫星化学,化工原料,主板,SZSE,半导体设备/材料
20250101,20250101,hs300,002709.SZ,天赐材料,化工原料,主板,SZSE,半导体设备/材料
20250101,20250101,hs300,002916.SZ,深南电路,元器件,主板,SZSE,CPO/光模块;PCB/服务器/高速连接;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,hs300,002938.SZ,鹏鼎控股,元器件,主板,SZSE,CPO/光模块;PCB/服务器/高速连接;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,hs300,300124.SZ,汇川技术,电器仪表,创业板,SZSE,机器人本体/工业自动化
20250101,20250101,hs300,300308.SZ,中际旭创,通信设备,创业板,SZSE,CPO/光模块;PCB/服务器/高速连接
20250101,20250101,hs300,300316.SZ,晶盛机电,专用机械,创业板,SZSE,半导体设备/材料;机器人本体/工业自动化;芯片设计/功率半导体
20250101,20250101,hs300,300394.SZ,天孚通信,通信设备,创业板,SZSE,CPO/光模块;PCB/服务器/高速连接
20250101,20250101,hs300,300408.SZ,三环集团,元器件,创业板,SZSE,CPO/光模块;PCB/服务器/高速连接;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,hs300,300433.SZ,蓝思科技,元器件,创业板,SZSE,CPO/光模块;PCB/服务器/高速连接;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,hs300,300450.SZ,先导智能,专用机械,创业板,SZSE,半导体设备/材料;机器人本体/工业自动化
20250101,20250101,hs300,300502.SZ,新易盛,通信设备,创业板,SZSE,CPO/光模块;PCB/服务器/高速连接
20250101,20250101,hs300,300628.SZ,亿联网络,通信设备,创业板,SZSE,CPO/光模块;PCB/服务器/高速连接
20250101,20250101,hs300,300661.SZ,圣邦股份,半导体,创业板,SZSE,半导体设备/材料;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,hs300,300782.SZ,卓胜微,半导体,创业板,SZSE,半导体设备/材料;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,hs300,301269.SZ,华大九天,半导体,创业板,SZSE,半导体设备/材料;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,hs300,600160.SH,巨化股份,化工原料,主板,SSE,半导体设备/材料
20250101,20250101,hs300,600183.SH,生益科技,元器件,主板,SSE,CPO/光模块;PCB/服务器/高速连接;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,hs300,600309.SH,万华化学,化工原料,主板,SSE,半导体设备/材料
20250101,20250101,hs300,600460.SH,士兰微,半导体,主板,SSE,半导体设备/材料;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,hs300,600584.SH,长电科技,半导体,主板,SSE,半导体设备/材料;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,hs300,600745.SH,闻泰科技,半导体,主板,SSE,半导体设备/材料;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,hs300,600989.SH,宝丰能源,化工原料,主板,SSE,半导体设备/材料
20250101,20250101,hs300,601138.SH,工业富联,通信设备,主板,SSE,CPO/光模块;PCB/服务器/高速连接
20250101,20250101,hs300,603019.SH,中科曙光,IT设备,主板,SSE,PCB/服务器/高速连接;存储/HBM/先进封装
20250101,20250101,hs300,603260.SH,合盛硅业,化工原料,主板,SSE,半导体设备/材料
20250101,20250101,hs300,603296.SH,华勤技术,元器件,主板,SSE,CPO/光模块;PCB/服务器/高速连接;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,hs300,603501.SH,豪威集团,半导体,主板,SSE,半导体设备/材料;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,hs300,603659.SH,璞泰来,化工原料,主板,SSE,半导体设备/材料
20250101,20250101,hs300,603986.SH,兆易创新,半导体,主板,SSE,半导体设备/材料;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,hs300,688008.SH,澜起科技,半导体,科创板,SSE,半导体设备/材料;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,hs300,688012.SH,中微公司,半导体,科创板,SSE,半导体设备/材料;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,hs300,688036.SH,传音控股,通信设备,科创板,SSE,CPO/光模块;PCB/服务器/高速连接
20250101,20250101,hs300,688041.SH,海光信息,半导体,科创板,SSE,半导体设备/材料;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,hs300,688082.SH,盛美上海,半导体,科创板,SSE,半导体设备/材料;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,hs300,688126.SH,沪硅产业,半导体,科创板,SSE,半导体设备/材料;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,hs300,688223.SH,晶科能源,电气设备,科创板,SSE,芯片设计/功率半导体
20250101,20250101,hs300,688256.SH,寒武纪,半导体,科创板,SSE,半导体设备/材料;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,hs300,688396.SH,华润微,半导体,科创板,SSE,半导体设备/材料;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,hs300,688981.SH,中芯国际,半导体,科创板,SSE,半导体设备/材料;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz500,000021.SZ,深科技,元器件,主板,SZSE,CPO/光模块;PCB/服务器/高速连接;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz500,000050.SZ,深天马Ａ,元器件,主板,SZSE,CPO/光模块;PCB/服务器/高速连接;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz500,000066.SZ,中国长城,IT设备,主板,SZSE,PCB/服务器/高速连接;存储/HBM/先进封装
20250101,20250101,zz500,000519.SZ,中兵红箭,专用机械,主板,SZSE,半导体设备/材料;机器人本体/工业自动化
20250101,20250101,zz500,000636.SZ,风华高科,元器件,主板,SZSE,CPO/光模块;PCB/服务器/高速连接;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz500,000683.SZ,博源化工,化工原料,主板,SZSE,半导体设备/材料
20250101,20250101,zz500,000733.SZ,振华科技,元器件,主板,SZSE,CPO/光模块;PCB/服务器/高速连接;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz500,000818.SZ,航锦科技,化工原料,主板,SZSE,半导体设备/材料
20250101,20250101,zz500,000830.SZ,鲁西化工,化工原料,主板,SZSE,半导体设备/材料
20250101,20250101,zz500,000988.SZ,华工科技,专用机械,主板,SZSE,半导体设备/材料;机器人本体/工业自动化
20250101,20250101,zz500,000997.SZ,新大陆,IT设备,主板,SZSE,PCB/服务器/高速连接;存储/HBM/先进封装
20250101,20250101,zz500,002008.SZ,大族激光,专用机械,主板,SZSE,半导体设备/材料;机器人本体/工业自动化
20250101,20250101,zz500,002025.SZ,航天电器,元器件,主板,SZSE,CPO/光模块;PCB/服务器/高速连接;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz500,002138.SZ,顺络电子,元器件,主板,SZSE,CPO/光模块;PCB/服务器/高速连接;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz500,002152.SZ,广电运通,IT设备,主板,SZSE,PCB/服务器/高速连接;存储/HBM/先进封装
20250101,20250101,zz500,002156.SZ,通富微电,半导体,主板,SZSE,半导体设备/材料;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz500,002185.SZ,华天科技,半导体,主板,SZSE,半导体设备/材料;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz500,002268.SZ,电科网安,IT设备,主板,SZSE,PCB/服务器/高速连接;存储/HBM/先进封装
20250101,20250101,zz500,002273.SZ,水晶光电,元器件,主板,SZSE,CPO/光模块;PCB/服务器/高速连接;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz500,002281.SZ,光迅科技,通信设备,主板,SZSE,CPO/光模块;PCB/服务器/高速连接
20250101,20250101,zz500,002384.SZ,东山精密,元器件,主板,SZSE,CPO/光模块;PCB/服务器/高速连接;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz500,002407.SZ,多氟多,化工原料,主板,SZSE,半导体设备/材料
20250101,20250101,zz500,002408.SZ,齐翔腾达,化工原料,主板,SZSE,半导体设备/材料
20250101,20250101,zz500,002409.SZ,雅克科技,半导体,主板,SZSE,半导体设备/材料;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz500,002414.SZ,高德红外,电器仪表,主板,SZSE,机器人本体/工业自动化
20250101,20250101,zz500,002436.SZ,兴森科技,元器件,主板,SZSE,CPO/光模块;PCB/服务器/高速连接;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz500,002465.SZ,海格通信,通信设备,主板,SZSE,CPO/光模块;PCB/服务器/高速连接
20250101,20250101,zz500,002595.SZ,豪迈科技,专用机械,主板,SZSE,半导体设备/材料;机器人本体/工业自动化
20250101,20250101,zz500,002683.SZ,广东宏大,化工原料,主板,SZSE,半导体设备/材料
20250101,20250101,zz500,002690.SZ,美亚光电,专用机械,主板,SZSE,半导体设备/材料;机器人本体/工业自动化
20250101,20250101,zz500,002841.SZ,视源股份,元器件,主板,SZSE,CPO/光模块;PCB/服务器/高速连接;存储/HBM/先进封装;芯片设计/功率半导体
