pool_as_of_date,universe_name,ts_code,name,industry,market,exchange,match_reason
20250101,hs300,000063.SZ,中兴通讯,通信设备,主板,SZSE,industry:通信设备
20250101,hs300,000100.SZ,TCL科技,元器件,主板,SZSE,industry:元器件
20250101,hs300,000725.SZ,京东方Ａ,元器件,主板,SZSE,industry:元器件
20250101,hs300,000938.SZ,紫光股份,IT设备,主板,SZSE,industry:IT设备
20250101,hs300,000977.SZ,浪潮信息,IT设备,主板,SZSE,industry:IT设备
20250101,hs300,001289.SZ,龙源电力,新型电力,主板,SZSE,industry:新型电力
20250101,hs300,002028.SZ,思源电气,电气设备,主板,SZSE,industry:电气设备
20250101,hs300,002049.SZ,紫光国微,半导体,主板,SZSE,industry:半导体
20250101,hs300,002074.SZ,国轩高科,电气设备,主板,SZSE,industry:电气设备
20250101,hs300,002129.SZ,TCL中环,电气设备,主板,SZSE,industry:电气设备
20250101,hs300,002179.SZ,中航光电,元器件,主板,SZSE,industry:元器件
20250101,hs300,002180.SZ,纳思达,IT设备,主板,SZSE,industry:IT设备
20250101,hs300,002230.SZ,科大讯飞,软件服务,主板,SZSE,industry:软件服务
20250101,hs300,002236.SZ,大华股份,IT设备,主板,SZSE,industry:IT设备
20250101,hs300,002241.SZ,歌尔股份,元器件,主板,SZSE,industry:元器件
20250101,hs300,002371.SZ,北方华创,半导体,主板,SZSE,industry:半导体
20250101,hs300,002415.SZ,海康威视,IT设备,主板,SZSE,industry:IT设备
20250101,hs300,002459.SZ,晶澳科技,电气设备,主板,SZSE,industry:电气设备
20250101,hs300,002463.SZ,沪电股份,元器件,主板,SZSE,industry:元器件
20250101,hs300,002475.SZ,立讯精密,元器件,主板,SZSE,industry:元器件
20250101,hs300,002812.SZ,恩捷股份,电气设备,主板,SZSE,industry:电气设备
20250101,hs300,002916.SZ,深南电路,元器件,主板,SZSE,industry:元器件
20250101,hs300,002938.SZ,鹏鼎控股,元器件,主板,SZSE,industry:元器件
20250101,hs300,003816.SZ,中国广核,新型电力,主板,SZSE,industry:新型电力
20250101,hs300,300014.SZ,亿纬锂能,电气设备,创业板,SZSE,industry:电气设备
20250101,hs300,300033.SZ,同花顺,软件服务,创业板,SZSE,industry:软件服务
20250101,hs300,300124.SZ,汇川技术,电器仪表,创业板,SZSE,industry:电器仪表
20250101,hs300,300274.SZ,阳光电源,电气设备,创业板,SZSE,industry:电气设备
20250101,hs300,300308.SZ,中际旭创,通信设备,创业板,SZSE,industry:通信设备
20250101,hs300,300316.SZ,晶盛机电,专用机械,创业板,SZSE,industry:专用机械
20250101,hs300,300394.SZ,天孚通信,通信设备,创业板,SZSE,industry:通信设备
20250101,hs300,300408.SZ,三环集团,元器件,创业板,SZSE,industry:元器件
20250101,hs300,300433.SZ,蓝思科技,元器件,创业板,SZSE,industry:元器件
20250101,hs300,300442.SZ,润泽科技,软件服务,创业板,SZSE,industry:软件服务
20250101,hs300,300450.SZ,先导智能,专用机械,创业板,SZSE,industry:专用机械
20250101,hs300,300502.SZ,新易盛,通信设备,创业板,SZSE,industry:通信设备
20250101,hs300,300628.SZ,亿联网络,通信设备,创业板,SZSE,industry:通信设备
20250101,hs300,300661.SZ,圣邦股份,半导体,创业板,SZSE,industry:半导体
20250101,hs300,300750.SZ,宁德时代,电气设备,创业板,SZSE,industry:电气设备
20250101,hs300,300782.SZ,卓胜微,半导体,创业板,SZSE,industry:半导体
20250101,hs300,301269.SZ,华大九天,半导体,创业板,SZSE,industry:半导体
20250101,hs300,600089.SH,特变电工,电气设备,主板,SSE,industry:电气设备
20250101,hs300,600183.SH,生益科技,元器件,主板,SSE,industry:元器件
20250101,hs300,600406.SH,国电南瑞,电气设备,主板,SSE,industry:电气设备
20250101,hs300,600438.SH,通威股份,电气设备,主板,SSE,industry:电气设备
20250101,hs300,600460.SH,士兰微,半导体,主板,SSE,industry:半导体
20250101,hs300,600570.SH,恒生电子,软件服务,主板,SSE,industry:软件服务
20250101,hs300,600584.SH,长电科技,半导体,主板,SSE,industry:半导体
20250101,hs300,600588.SH,用友网络,软件服务,主板,SSE,industry:软件服务
20250101,hs300,600745.SH,闻泰科技,半导体,主板,SSE,industry:半导体
20250101,hs300,600845.SH,宝信软件,软件服务,主板,SSE,industry:软件服务
20250101,hs300,600875.SH,东方电气,电气设备,主板,SSE,industry:电气设备
20250101,hs300,600905.SH,三峡能源,新型电力,主板,SSE,industry:新型电力
20250101,hs300,601012.SH,隆基绿能,电气设备,主板,SSE,industry:电气设备
20250101,hs300,601138.SH,工业富联,通信设备,主板,SSE,industry:通信设备
20250101,hs300,601877.SH,正泰电器,电气设备,主板,SSE,industry:电气设备
20250101,hs300,601985.SH,中国核电,新型电力,主板,SSE,industry:新型电力
20250101,hs300,603019.SH,中科曙光,IT设备,主板,SSE,industry:IT设备
20250101,hs300,603296.SH,华勤技术,元器件,主板,SSE,industry:元器件
20250101,hs300,603501.SH,豪威集团,半导体,主板,SSE,industry:半导体
20250101,hs300,603986.SH,兆易创新,半导体,主板,SSE,industry:半导体
20250101,hs300,605117.SH,德业股份,电气设备,主板,SSE,industry:电气设备
20250101,hs300,688008.SH,澜起科技,半导体,科创板,SSE,industry:半导体
20250101,hs300,688012.SH,中微公司,半导体,科创板,SSE,industry:半导体
20250101,hs300,688036.SH,传音控股,通信设备,科创板,SSE,industry:通信设备
20250101,hs300,688041.SH,海光信息,半导体,科创板,SSE,industry:半导体
20250101,hs300,688082.SH,盛美上海,半导体,科创板,SSE,industry:半导体
20250101,hs300,688111.SH,金山办公,软件服务,科创板,SSE,industry:软件服务
20250101,hs300,688126.SH,沪硅产业,半导体,科创板,SSE,industry:半导体
20250101,hs300,688223.SH,晶科能源,电气设备,科创板,SSE,industry:电气设备
20250101,hs300,688256.SH,寒武纪,半导体,科创板,SSE,industry:半导体
20250101,hs300,688303.SH,大全能源,电气设备,科创板,SSE,industry:电气设备
20250101,hs300,688396.SH,华润微,半导体,科创板,SSE,industry:半导体
20250101,hs300,688472.SH,阿特斯,电气设备,科创板,SSE,industry:电气设备
20250101,hs300,688599.SH,天合光能,电气设备,科创板,SSE,industry:电气设备
20250101,hs300,688981.SH,中芯国际,半导体,科创板,SSE,industry:半导体
20250101,zz500,000009.SZ,中国宝安,电气设备,主板,SZSE,industry:电气设备
20250101,zz500,000021.SZ,深科技,元器件,主板,SZSE,industry:元器件
20250101,zz500,000034.SZ,神州数码,软件服务,主板,SZSE,industry:软件服务
20250101,zz500,000050.SZ,深天马Ａ,元器件,主板,SZSE,industry:元器件
20250101,zz500,000066.SZ,中国长城,IT设备,主板,SZSE,industry:IT设备
20250101,zz500,000155.SZ,川能动力,新型电力,主板,SZSE,industry:新型电力
20250101,zz500,000400.SZ,许继电气,电气设备,主板,SZSE,industry:电气设备
20250101,zz500,000519.SZ,中兵红箭,专用机械,主板,SZSE,industry:专用机械
20250101,zz500,000537.SZ,绿发电力,新型电力,主板,SZSE,industry:新型电力
20250101,zz500,000591.SZ,太阳能,新型电力,主板,SZSE,industry:新型电力
20250101,zz500,000636.SZ,风华高科,元器件,主板,SZSE,industry:元器件
20250101,zz500,000733.SZ,振华科技,元器件,主板,SZSE,industry:元器件
20250101,zz500,000958.SZ,电投产融,新型电力,主板,SZSE,industry:新型电力
20250101,zz500,000988.SZ,华工科技,专用机械,主板,SZSE,industry:专用机械
20250101,zz500,000997.SZ,新大陆,IT设备,主板,SZSE,industry:IT设备
20250101,zz500,002008.SZ,大族激光,专用机械,主板,SZSE,industry:专用机械
20250101,zz500,002025.SZ,航天电器,元器件,主板,SZSE,industry:元器件
20250101,zz500,002056.SZ,横店东磁,电气设备,主板,SZSE,industry:电气设备
20250101,zz500,002065.SZ,东华软件,软件服务,主板,SZSE,industry:软件服务
20250101,zz500,002138.SZ,顺络电子,元器件,主板,SZSE,industry:元器件
20250101,zz500,002152.SZ,广电运通,IT设备,主板,SZSE,industry:IT设备
20250101,zz500,002153.SZ,石基信息,软件服务,主板,SZSE,industry:软件服务
20250101,zz500,002156.SZ,通富微电,半导体,主板,SZSE,industry:半导体
20250101,zz500,002185.SZ,华天科技,半导体,主板,SZSE,industry:半导体
20250101,zz500,002195.SZ,岩山科技,软件服务,主板,SZSE,industry:软件服务
20250101,zz500,002202.SZ,金风科技,电气设备,主板,SZSE,industry:电气设备
20250101,zz500,002261.SZ,拓维信息,软件服务,主板,SZSE,industry:软件服务
20250101,zz500,002268.SZ,电科网安,IT设备,主板,SZSE,industry:IT设备
20250101,zz500,002273.SZ,水晶光电,元器件,主板,SZSE,industry:元器件
20250101,zz500,002281.SZ,光迅科技,通信设备,主板,SZSE,industry:通信设备
20250101,zz500,002368.SZ,太极股份,软件服务,主板,SZSE,industry:软件服务
20250101,zz500,002373.SZ,千方科技,软件服务,主板,SZSE,industry:软件服务
20250101,zz500,002384.SZ,东山精密,元器件,主板,SZSE,industry:元器件
20250101,zz500,002409.SZ,雅克科技,半导体,主板,SZSE,industry:半导体
20250101,zz500,002410.SZ,广联达,软件服务,主板,SZSE,industry:软件服务
20250101,zz500,002414.SZ,高德红外,电器仪表,主板,SZSE,industry:电器仪表
20250101,zz500,002436.SZ,兴森科技,元器件,主板,SZSE,industry:元器件
20250101,zz500,002439.SZ,启明星辰,软件服务,主板,SZSE,industry:软件服务
20250101,zz500,002465.SZ,海格通信,通信设备,主板,SZSE,industry:通信设备
20250101,zz500,002487.SZ,大金重工,电气设备,主板,SZSE,industry:电气设备
20250101,zz500,002531.SZ,天顺风能,电气设备,主板,SZSE,industry:电气设备
20250101,zz500,002595.SZ,豪迈科技,专用机械,主板,SZSE,industry:专用机械
20250101,zz500,002690.SZ,美亚光电,专用机械,主板,SZSE,industry:专用机械
20250101,zz500,002841.SZ,视源股份,元器件,主板,SZSE,industry:元器件
20250101,zz500,002850.SZ,科达利,电气设备,主板,SZSE,industry:电气设备
20250101,zz500,003031.SZ,中瓷电子,元器件,主板,SZSE,industry:元器件
20250101,zz500,003035.SZ,南网能源,新型电力,主板,SZSE,industry:新型电力
20250101,zz500,300001.SZ,特锐德,电气设备,创业板,SZSE,industry:电气设备
20250101,zz500,300012.SZ,华测检测,电器仪表,创业板,SZSE,industry:电器仪表
20250101,zz500,300017.SZ,网宿科技,软件服务,创业板,SZSE,industry:软件服务
20250101,zz500,300024.SZ,机器人,专用机械,创业板,SZSE,industry:专用机械;name:机器人
20250101,zz500,300073.SZ,当升科技,电气设备,创业板,SZSE,industry:电气设备
20250101,zz500,300118.SZ,东方日升,电气设备,创业板,SZSE,industry:电气设备
20250101,zz500,300136.SZ,信维通信,元器件,创业板,SZSE,industry:元器件
20250101,zz500,300207.SZ,欣旺达,电气设备,创业板,SZSE,industry:电气设备
20250101,zz500,300212.SZ,易华录,软件服务,创业板,SZSE,industry:软件服务
20250101,zz500,300223.SZ,北京君正,半导体,创业板,SZSE,industry:半导体
20250101,zz500,300339.SZ,润和软件,软件服务,创业板,SZSE,industry:软件服务
20250101,zz500,300373.SZ,扬杰科技,半导体,创业板,SZSE,industry:半导体
20250101,zz500,300383.SZ,光环新网,软件服务,创业板,SZSE,industry:软件服务
20250101,zz500,300390.SZ,天华新能,电气设备,创业板,SZSE,industry:电气设备
20250101,zz500,300474.SZ,景嘉微,元器件,创业板,SZSE,industry:元器件
20250101,zz500,300476.SZ,胜宏科技,元器件,创业板,SZSE,industry:元器件
20250101,zz500,300496.SZ,中科创达,软件服务,创业板,SZSE,industry:软件服务
20250101,zz500,300567.SZ,精测电子,电器仪表,创业板,SZSE,industry:电器仪表
20250101,zz500,300604.SZ,长川科技,半导体,创业板,SZSE,industry:半导体
20250101,zz500,300724.SZ,捷佳伟创,专用机械,创业板,SZSE,industry:专用机械
20250101,zz500,300751.SZ,迈为股份,专用机械,创业板,SZSE,industry:专用机械
20250101,zz500,300763.SZ,锦浪科技,电气设备,创业板,SZSE,industry:电气设备
20250101,zz500,300803.SZ,指南针,软件服务,创业板,SZSE,industry:软件服务
20250101,zz500,300866.SZ,安克创新,元器件,创业板,SZSE,industry:元器件
20250101,zz500,300919.SZ,中伟新材,电气设备,创业板,SZSE,industry:电气设备
20250101,zz500,301165.SZ,锐捷网络,通信设备,创业板,SZSE,industry:通信设备
20250101,zz500,301236.SZ,软通动力,软件服务,创业板,SZSE,industry:软件服务
20250101,zz500,301308.SZ,江波龙,半导体,创业板,SZSE,industry:半导体
20250101,zz500,301358.SZ,湖南裕能,电气设备,创业板,SZSE,industry:电气设备
20250101,zz500,600032.SH,浙江新能,新型电力,主板,SSE,industry:新型电力
20250101,zz500,600131.SH,国网信通,通信设备,主板,SSE,industry:通信设备
20250101,zz500,600271.SH,航天信息,软件服务,主板,SSE,industry:软件服务
20250101,zz500,600312.SH,平高电气,电气设备,主板,SSE,industry:电气设备
20250101,zz500,600416.SH,湘电股份,电气设备,主板,SSE,industry:电气设备
20250101,zz500,600435.SH,北方导航,专用机械,主板,SSE,industry:专用机械
20250101,zz500,600483.SH,福能股份,新型电力,主板,SSE,industry:新型电力
20250101,zz500,600487.SH,亨通光电,通信设备,主板,SSE,industry:通信设备
20250101,zz500,600498.SH,烽火通信,通信设备,主板,SSE,industry:通信设备
20250101,zz500,600499.SH,科达制造,专用机械,主板,SSE,industry:专用机械
20250101,zz500,600536.SH,中国软件,软件服务,主板,SSE,industry:软件服务
20250101,zz500,600563.SH,法拉电子,元器件,主板,SSE,industry:元器件
20250101,zz500,600580.SH,卧龙电驱,电气设备,主板,SSE,industry:电气设备
20250101,zz500,600582.SH,天地科技,专用机械,主板,SSE,industry:专用机械
20250101,zz500,600707.SH,彩虹股份,元器件,主板,SSE,industry:元器件
20250101,zz500,600884.SH,杉杉股份,电气设备,主板,SSE,industry:电气设备
20250101,zz500,600885.SH,宏发股份,电气设备,主板,SSE,industry:电气设备
20250101,zz500,601016.SH,节能风电,新型电力,主板,SSE,industry:新型电力
20250101,zz500,601179.SH,中国西电,电气设备,主板,SSE,industry:电气设备
20250101,zz500,601231.SH,环旭电子,元器件,主板,SSE,industry:元器件
20250101,zz500,601567.SH,三星医疗,电气设备,主板,SSE,industry:电气设备
20250101,zz500,601608.SH,中信重工,专用机械,主板,SSE,industry:专用机械
20250101,zz500,601615.SH,明阳智能,电气设备,主板,SSE,industry:电气设备
20250101,zz500,601717.SH,中创智领,专用机械,主板,SSE,industry:专用机械
20250101,zz500,603160.SH,汇顶科技,半导体,主板,SSE,industry:半导体
20250101,zz500,603185.SH,弘元绿能,电气设备,主板,SSE,industry:电气设备
20250101,zz500,603228.SH,景旺电子,元器件,主板,SSE,industry:元器件
20250101,zz500,603290.SH,斯达半导,半导体,主板,SSE,industry:半导体
20250101,zz500,603341.SH,龙旗科技,通信设备,主板,SSE,industry:通信设备
20250101,zz500,603556.SH,海兴电力,电器仪表,主板,SSE,industry:电器仪表
20250101,zz500,603606.SH,东方电缆,电气设备,主板,SSE,industry:电气设备
20250101,zz500,603712.SH,七一二,通信设备,主板,SSE,industry:通信设备
20250101,zz500,603728.SH,鸣志电器,电气设备,主板,SSE,industry:电气设备
20250101,zz500,603893.SH,瑞芯微,半导体,主板,SSE,industry:半导体
20250101,zz500,603927.SH,中科软,软件服务,主板,SSE,industry:软件服务
20250101,zz500,605358.SH,立昂微,半导体,主板,SSE,industry:半导体
20250101,zz500,688002.SH,睿创微纳,通信设备,科创板,SSE,industry:通信设备
20250101,zz500,688005.SH,容百科技,电气设备,科创板,SSE,industry:电气设备
20250101,zz500,688017.SH,绿的谐波,机械基件,科创板,SSE,industry:机械基件
20250101,zz500,688032.SH,禾迈股份,电气设备,科创板,SSE,industry:电气设备
20250101,zz500,688047.SH,龙芯中科,半导体,科创板,SSE,industry:半导体
20250101,zz500,688052.SH,纳芯微,半导体,科创板,SSE,industry:半导体
20250101,zz500,688072.SH,拓荆科技,半导体,科创板,SSE,industry:半导体
20250101,zz500,688099.SH,晶晨股份,半导体,科创板,SSE,industry:半导体
20250101,zz500,688120.SH,华海清科,半导体,科创板,SSE,industry:半导体
20250101,zz500,688153.SH,唯捷创芯,半导体,科创板,SSE,industry:半导体
20250101,zz500,688172.SH,燕东微,半导体,科创板,SSE,industry:半导体
20250101,zz500,688188.SH,柏楚电子,专用机械,科创板,SSE,industry:专用机械
20250101,zz500,688213.SH,思特威-W,半导体,科创板,SSE,industry:半导体
20250101,zz500,688220.SH,翱捷科技-U,半导体,科创板,SSE,industry:半导体
20250101,zz500,688234.SH,天岳先进,半导体,科创板,SSE,industry:半导体
20250101,zz500,688248.SH,南网科技,电气设备,科创板,SSE,industry:电气设备
20250101,zz500,688249.SH,晶合集成,半导体,科创板,SSE,industry:半导体
20250101,zz500,688349.SH,三一重能,电气设备,科创板,SSE,industry:电气设备
20250101,zz500,688361.SH,中科飞测,半导体,科创板,SSE,industry:半导体
20250101,zz500,688375.SH,国博电子,元器件,科创板,SSE,industry:元器件
20250101,zz500,688385.SH,复旦微电,半导体,科创板,SSE,industry:半导体
20250101,zz500,688387.SH,信科移动-U,通信设备,科创板,SSE,industry:通信设备
20250101,zz500,688390.SH,固德威,电气设备,科创板,SSE,industry:电气设备
20250101,zz500,688469.SH,芯联集成-U,半导体,科创板,SSE,industry:半导体
20250101,zz500,688475.SH,萤石网络,IT设备,科创板,SSE,industry:IT设备
20250101,zz500,688516.SH,奥特维,专用机械,科创板,SSE,industry:专用机械
20250101,zz500,688521.SH,芯原股份,半导体,科创板,SSE,industry:半导体
20250101,zz500,688525.SH,佰维存储,半导体,科创板,SSE,industry:半导体
20250101,zz500,688536.SH,思瑞浦,半导体,科创板,SSE,industry:半导体
20250101,zz500,688538.SH,和辉光电-U,半导体,科创板,SSE,industry:半导体
20250101,zz500,688561.SH,奇安信-U,软件服务,科创板,SSE,industry:软件服务
20250101,zz500,688567.SH,孚能科技,电气设备,科创板,SSE,industry:电气设备
20250101,zz500,688772.SH,珠海冠宇,电气设备,科创板,SSE,industry:电气设备
20250101,zz500,688777.SH,中控技术,专用机械,科创板,SSE,industry:专用机械
20250101,zz500,688778.SH,厦钨新能,电气设备,科创板,SSE,industry:电气设备
