tag_as_of_date,pool_as_of_date,universe_name,ts_code,name,industry,market,exchange,match_reason
20250101,20250101,zz1000,000062.SZ,深圳华强,元器件,主板,SZSE,CPO/光模块;PCB/服务器/高速连接;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz1000,000727.SZ,冠捷科技,元器件,主板,SZSE,CPO/光模块;PCB/服务器/高速连接;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz1000,000837.SZ,秦川机床,机床制造,主板,SZSE,机器人本体/工业自动化
20250101,20250101,zz1000,000881.SZ,中广核技,化工原料,主板,SZSE,半导体设备/材料
20250101,20250101,zz1000,000990.SZ,诚志股份,化工原料,主板,SZSE,半导体设备/材料
20250101,20250101,zz1000,001269.SZ,欧晶科技,矿物制品,主板,SZSE,芯片设计/功率半导体
20250101,20250101,zz1000,001270.SZ,*ST铖昌,半导体,主板,SZSE,半导体设备/材料;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz1000,001287.SZ,中电港,元器件,主板,SZSE,CPO/光模块;PCB/服务器/高速连接;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz1000,001308.SZ,康冠科技,元器件,主板,SZSE,CPO/光模块;PCB/服务器/高速连接;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz1000,001309.SZ,德明利,半导体,主板,SZSE,半导体设备/材料;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz1000,001389.SZ,广合科技,元器件,主板,SZSE,CPO/光模块;PCB/服务器/高速连接;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz1000,002006.SZ,精工科技,专用机械,主板,SZSE,半导体设备/材料;机器人本体/工业自动化
20250101,20250101,zz1000,002036.SZ,联创电子,元器件,主板,SZSE,CPO/光模块;PCB/服务器/高速连接;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz1000,002068.SZ,黑猫股份,化工原料,主板,SZSE,半导体设备/材料
20250101,20250101,zz1000,002077.SZ,大港股份,半导体,主板,SZSE,半导体设备/材料;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz1000,002096.SZ,易普力,化工原料,主板,SZSE,半导体设备/材料
20250101,20250101,zz1000,002125.SZ,湘潭电化,化工原料,主板,SZSE,半导体设备/材料
20250101,20250101,zz1000,002139.SZ,拓邦股份,元器件,主板,SZSE,CPO/光模块;PCB/服务器/高速连接;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz1000,002145.SZ,钛能化学,化工原料,主板,SZSE,半导体设备/材料
20250101,20250101,zz1000,002151.SZ,北斗星通,通信设备,主板,SZSE,CPO/光模块;PCB/服务器/高速连接
20250101,20250101,zz1000,002194.SZ,武汉凡谷,通信设备,主板,SZSE,CPO/光模块;PCB/服务器/高速连接
20250101,20250101,zz1000,002204.SZ,大连重工,专用机械,主板,SZSE,半导体设备/材料;机器人本体/工业自动化
20250101,20250101,zz1000,002214.SZ,*ST大立,电器仪表,主板,SZSE,机器人本体/工业自动化
20250101,20250101,zz1000,002222.SZ,福晶科技,元器件,主板,SZSE,CPO/光模块;PCB/服务器/高速连接;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz1000,002226.SZ,江南化工,化工原料,主板,SZSE,半导体设备/材料
20250101,20250101,zz1000,002245.SZ,蔚蓝锂芯,电气设备,主板,SZSE,芯片设计/功率半导体
20250101,20250101,zz1000,002265.SZ,建设工业,专用机械,主板,SZSE,半导体设备/材料;机器人本体/工业自动化
20250101,20250101,zz1000,002312.SZ,川发龙蟒,化工原料,主板,SZSE,半导体设备/材料
20250101,20250101,zz1000,002326.SZ,永太科技,化工原料,主板,SZSE,半导体设备/材料
20250101,20250101,zz1000,002351.SZ,漫步者,IT设备,主板,SZSE,PCB/服务器/高速连接;存储/HBM/先进封装
20250101,20250101,zz1000,002396.SZ,星网锐捷,通信设备,主板,SZSE,CPO/光模块;PCB/服务器/高速连接
20250101,20250101,zz1000,002402.SZ,和而泰,元器件,主板,SZSE,CPO/光模块;PCB/服务器/高速连接;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz1000,002446.SZ,盛路通信,通信设备,主板,SZSE,CPO/光模块;PCB/服务器/高速连接
20250101,20250101,zz1000,002456.SZ,欧菲光,元器件,主板,SZSE,CPO/光模块;PCB/服务器/高速连接;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz1000,002484.SZ,江海股份,元器件,主板,SZSE,CPO/光模块;PCB/服务器/高速连接;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz1000,002534.SZ,西子洁能,专用机械,主板,SZSE,半导体设备/材料;机器人本体/工业自动化
20250101,20250101,zz1000,002544.SZ,普天科技,通信设备,主板,SZSE,CPO/光模块;PCB/服务器/高速连接
20250101,20250101,zz1000,002583.SZ,海能达,通信设备,主板,SZSE,CPO/光模块;PCB/服务器/高速连接
20250101,20250101,zz1000,002635.SZ,安洁科技,元器件,主板,SZSE,CPO/光模块;PCB/服务器/高速连接;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz1000,002643.SZ,万润股份,化工原料,主板,SZSE,半导体设备/材料
20250101,20250101,zz1000,002681.SZ,奋达科技,元器件,主板,SZSE,CPO/光模块;PCB/服务器/高速连接;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz1000,002745.SZ,木林森,元器件,主板,SZSE,CPO/光模块;PCB/服务器/高速连接;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz1000,002747.SZ,埃斯顿,机械基件,主板,SZSE,机器人本体/工业自动化
20250101,20250101,zz1000,002815.SZ,崇达技术,元器件,主板,SZSE,CPO/光模块;PCB/服务器/高速连接;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz1000,002833.SZ,弘亚数控,专用机械,主板,SZSE,半导体设备/材料;机器人本体/工业自动化
20250101,20250101,zz1000,002837.SZ,英维克,专用机械,主板,SZSE,半导体设备/材料;机器人本体/工业自动化
20250101,20250101,zz1000,002859.SZ,洁美科技,元器件,主板,SZSE,CPO/光模块;PCB/服务器/高速连接;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz1000,002895.SZ,川恒股份,化工原料,主板,SZSE,半导体设备/材料
20250101,20250101,zz1000,002913.SZ,奥士康,元器件,主板,SZSE,CPO/光模块;PCB/服务器/高速连接;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz1000,002925.SZ,盈趣科技,元器件,主板,SZSE,CPO/光模块;PCB/服务器/高速连接;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz1000,002929.SZ,润建股份,通信设备,主板,SZSE,CPO/光模块;PCB/服务器/高速连接
20250101,20250101,zz1000,002960.SZ,青鸟消防,专用机械,主板,SZSE,半导体设备/材料;机器人本体/工业自动化
20250101,20250101,zz1000,002967.SZ,广电计量,电器仪表,主板,SZSE,机器人本体/工业自动化
20250101,20250101,zz1000,002993.SZ,奥海科技,元器件,主板,SZSE,CPO/光模块;PCB/服务器/高速连接;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz1000,003021.SZ,兆威机电,元器件,主板,SZSE,CPO/光模块;PCB/服务器/高速连接;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz1000,003040.SZ,楚天龙,通信设备,主板,SZSE,CPO/光模块;PCB/服务器/高速连接
20250101,20250101,zz1000,300045.SZ,华力创通,IT设备,创业板,SZSE,PCB/服务器/高速连接;存储/HBM/先进封装
20250101,20250101,zz1000,300077.SZ,国民技术,半导体,创业板,SZSE,半导体设备/材料;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz1000,300079.SZ,数码视讯,IT设备,创业板,SZSE,PCB/服务器/高速连接;存储/HBM/先进封装
20250101,20250101,zz1000,300083.SZ,创世纪,机床制造,创业板,SZSE,机器人本体/工业自动化
20250101,20250101,zz1000,300088.SZ,长信科技,元器件,创业板,SZSE,CPO/光模块;PCB/服务器/高速连接;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz1000,300101.SZ,振芯科技,通信设备,创业板,SZSE,CPO/光模块;PCB/服务器/高速连接;芯片设计/功率半导体
20250101,20250101,zz1000,300109.SZ,新开源,化工原料,创业板,SZSE,半导体设备/材料
20250101,20250101,zz1000,300115.SZ,长盈精密,元器件,创业板,SZSE,CPO/光模块;PCB/服务器/高速连接;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz1000,300123.SZ,亚光科技,半导体,创业板,SZSE,半导体设备/材料;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz1000,300130.SZ,新国都,IT设备,创业板,SZSE,PCB/服务器/高速连接;存储/HBM/先进封装
20250101,20250101,zz1000,300134.SZ,大富科技,通信设备,创业板,SZSE,CPO/光模块;PCB/服务器/高速连接
20250101,20250101,zz1000,300151.SZ,昌红科技,专用机械,创业板,SZSE,半导体设备/材料;机器人本体/工业自动化
20250101,20250101,zz1000,300183.SZ,东软载波,通信设备,创业板,SZSE,CPO/光模块;PCB/服务器/高速连接
20250101,20250101,zz1000,300232.SZ,洲明科技,元器件,创业板,SZSE,CPO/光模块;PCB/服务器/高速连接;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz1000,300236.SZ,上海新阳,半导体,创业板,SZSE,半导体设备/材料;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz1000,300257.SZ,开山股份,机械基件,创业板,SZSE,机器人本体/工业自动化
20250101,20250101,zz1000,300260.SZ,新莱应材,机械基件,创业板,SZSE,机器人本体/工业自动化
20250101,20250101,zz1000,300296.SZ,利亚德,元器件,创业板,SZSE,CPO/光模块;PCB/服务器/高速连接;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz1000,300303.SZ,聚飞光电,半导体,创业板,SZSE,半导体设备/材料;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz1000,300319.SZ,麦捷科技,元器件,创业板,SZSE,CPO/光模块;PCB/服务器/高速连接;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz1000,300323.SZ,华灿光电,半导体,创业板,SZSE,半导体设备/材料;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz1000,300327.SZ,中颖电子,半导体,创业板,SZSE,半导体设备/材料;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz1000,300346.SZ,南大光电,半导体,创业板,SZSE,半导体设备/材料;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz1000,300398.SZ,飞凯材料,化工原料,创业板,SZSE,半导体设备/材料
20250101,20250101,zz1000,300415.SZ,伊之密,专用机械,创业板,SZSE,半导体设备/材料;机器人本体/工业自动化
20250101,20250101,zz1000,300416.SZ,苏试试验,电器仪表,创业板,SZSE,机器人本体/工业自动化
20250101,20250101,zz1000,300455.SZ,航天智装,IT设备,创业板,SZSE,PCB/服务器/高速连接;存储/HBM/先进封装
20250101,20250101,zz1000,300456.SZ,赛微电子,半导体,创业板,SZSE,半导体设备/材料;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz1000,300457.SZ,赢合科技,专用机械,创业板,SZSE,半导体设备/材料;机器人本体/工业自动化
20250101,20250101,zz1000,300458.SZ,全志科技,半导体,创业板,SZSE,半导体设备/材料;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz1000,300470.SZ,中密控股,机械基件,创业板,SZSE,机器人本体/工业自动化
20250101,20250101,zz1000,300475.SZ,香农芯创,元器件,创业板,SZSE,CPO/光模块;PCB/服务器/高速连接;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz1000,300527.SZ,ST应急,专用机械,创业板,SZSE,半导体设备/材料;机器人本体/工业自动化
20250101,20250101,zz1000,300568.SZ,星源材质,化工原料,创业板,SZSE,半导体设备/材料
20250101,20250101,zz1000,300570.SZ,太辰光,通信设备,创业板,SZSE,CPO/光模块;PCB/服务器/高速连接
20250101,20250101,zz1000,300596.SZ,利安隆,化工原料,创业板,SZSE,半导体设备/材料
20250101,20250101,zz1000,300602.SZ,飞荣达,元器件,创业板,SZSE,CPO/光模块;PCB/服务器/高速连接;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz1000,300613.SZ,富瀚微,半导体,创业板,SZSE,半导体设备/材料;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz1000,300620.SZ,光库科技,通信设备,创业板,SZSE,CPO/光模块;PCB/服务器/高速连接
20250101,20250101,zz1000,300623.SZ,捷捷微电,半导体,创业板,SZSE,半导体设备/材料;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz1000,300627.SZ,华测导航,通信设备,创业板,SZSE,CPO/光模块;PCB/服务器/高速连接
20250101,20250101,zz1000,300638.SZ,广和通,通信设备,创业板,SZSE,CPO/光模块;PCB/服务器/高速连接
20250101,20250101,zz1000,300641.SZ,正丹股份,化工原料,创业板,SZSE,半导体设备/材料
20250101,20250101,zz1000,300655.SZ,晶瑞电材,半导体,创业板,SZSE,半导体设备/材料;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz1000,300657.SZ,弘信电子,元器件,创业板,SZSE,CPO/光模块;PCB/服务器/高速连接;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz1000,300666.SZ,江丰电子,半导体,创业板,SZSE,半导体设备/材料;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz1000,300672.SZ,国科微,半导体,创业板,SZSE,半导体设备/材料;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz1000,300679.SZ,电连技术,元器件,创业板,SZSE,CPO/光模块;PCB/服务器/高速连接;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz1000,300726.SZ,宏达电子,元器件,创业板,SZSE,CPO/光模块;PCB/服务器/高速连接;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz1000,300735.SZ,光弘科技,元器件,创业板,SZSE,CPO/光模块;PCB/服务器/高速连接;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz1000,300747.SZ,锐科激光,专用机械,创业板,SZSE,半导体设备/材料;机器人本体/工业自动化
20250101,20250101,zz1000,300757.SZ,罗博特科,专用机械,创业板,SZSE,半导体设备/材料;机器人本体/工业自动化
20250101,20250101,zz1000,300762.SZ,上海瀚讯,通信设备,创业板,SZSE,CPO/光模块;PCB/服务器/高速连接
20250101,20250101,zz1000,300776.SZ,帝尔激光,专用机械,创业板,SZSE,半导体设备/材料;机器人本体/工业自动化
20250101,20250101,zz1000,300821.SZ,东岳硅材,化工原料,创业板,SZSE,半导体设备/材料
20250101,20250101,zz1000,300850.SZ,新强联,机械基件,创业板,SZSE,机器人本体/工业自动化
20250101,20250101,zz1000,300857.SZ,协创数据,IT设备,创业板,SZSE,PCB/服务器/高速连接;存储/HBM/先进封装
20250101,20250101,zz1000,300910.SZ,瑞丰新材,化工原料,创业板,SZSE,半导体设备/材料
20250101,20250101,zz1000,300913.SZ,兆龙互连,通信设备,创业板,SZSE,CPO/光模块;PCB/服务器/高速连接
20250101,20250101,zz1000,301029.SZ,怡合达,专用机械,创业板,SZSE,半导体设备/材料;机器人本体/工业自动化
20250101,20250101,zz1000,301050.SZ,雷电微力,航空,创业板,SZSE,芯片设计/功率半导体
20250101,20250101,zz1000,301069.SZ,凯盛新材,化工原料,创业板,SZSE,半导体设备/材料
20250101,20250101,zz1000,301090.SZ,华润材料,化工原料,创业板,SZSE,半导体设备/材料
20250101,20250101,zz1000,301095.SZ,广立微,半导体,创业板,SZSE,半导体设备/材料;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz1000,301180.SZ,万祥科技,元器件,创业板,SZSE,CPO/光模块;PCB/服务器/高速连接;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz1000,301205.SZ,联特科技,通信设备,创业板,SZSE,CPO/光模块;PCB/服务器/高速连接
20250101,20250101,zz1000,301216.SZ,万凯新材,化工原料,创业板,SZSE,半导体设备/材料
20250101,20250101,zz1000,301217.SZ,铜冠铜箔,元器件,创业板,SZSE,CPO/光模块;PCB/服务器/高速连接;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz1000,301238.SZ,瑞泰新材,化工原料,创业板,SZSE,半导体设备/材料
20250101,20250101,zz1000,301268.SZ,铭利达,机械基件,创业板,SZSE,机器人本体/工业自动化
20250101,20250101,zz1000,301297.SZ,富乐德,半导体,创业板,SZSE,半导体设备/材料;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz1000,301325.SZ,曼恩斯特,专用机械,创业板,SZSE,半导体设备/材料;机器人本体/工业自动化
20250101,20250101,zz1000,301339.SZ,通行宝,IT设备,创业板,SZSE,PCB/服务器/高速连接;存储/HBM/先进封装
20250101,20250101,zz1000,301348.SZ,蓝箭电子,半导体,创业板,SZSE,半导体设备/材料;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz1000,301487.SZ,盟固利,化工原料,创业板,SZSE,半导体设备/材料
20250101,20250101,zz1000,301508.SZ,中机认检,电器仪表,创业板,SZSE,机器人本体/工业自动化
20250101,20250101,zz1000,301510.SZ,固高科技,电器仪表,创业板,SZSE,机器人本体/工业自动化
