as_of_date,ts_code,name,industry,market,exchange,theme,sub_theme,source,confidence,evidence,valid_from,valid_to
20250101,000020.SZ,深华发Ａ,元器件,主板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,000021.SZ,深科技,元器件,主板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,000045.SZ,深纺织Ａ,元器件,主板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,000050.SZ,深天马Ａ,元器件,主板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,000062.SZ,深圳华强,元器件,主板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,000063.SZ,中兴通讯,通信设备,主板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:通信设备,20250101,
20250101,000070.SZ,特发信息,通信设备,主板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:通信设备,20250101,
20250101,000100.SZ,TCL科技,元器件,主板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,000509.SZ,华塑控股,元器件,主板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,000536.SZ,华映科技,元器件,主板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,000547.SZ,航天发展,通信设备,主板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:通信设备,20250101,
20250101,000561.SZ,烽火电子,通信设备,主板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:通信设备,20250101,
20250101,000586.SZ,汇源通信,通信设备,主板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:通信设备,20250101,
20250101,000636.SZ,风华高科,元器件,主板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
