trade_date,source_us_trade_date,us_risk_on,us_tech_strong,us_smallcap_strong,vix_stress,spy_return_20d,qqq_return_20d,iwm_return_20d,vix_return_20d,qqq_spy_relative_20d,iwm_spy_relative_20d
20230103,20221230,0,0,0,0,-0.06124502921105601,-0.09342230695900877,-0.06739409499358151,-0.03551912568306015,-0.03427654579651429,-0.006550235124036519
20230104,20230103,0,0,0,0,-0.0641173723919295,-0.09594941035720383,-0.07790481254985382,-0.02712100139082063,-0.034012852708496966,-0.01473201847240424
20230105,20230104,0,0,0,0,-0.039615605996146,-0.07613683771380886,-0.03997375184557339,-0.06971975393028029,-0.038027723009331105,-0.0003729192723908037
20230106,20230105,0,0,1,0,-0.03669095802757527,-0.07135756887247946,-0.035486199811184505,-0.08958195089581944,-0.03598700866953619,0.001250645601668987
20230109,20230106,0,0,1,0,-0.012920948214467542,-0.0418137097636615,-0.010916787345438217,-0.12361020274689327,-0.02927097023985037,0.002030395504193816
20230110,20230109,0,0,1,0,-0.0211487987078538,-0.046890963537079444,-0.016368060163680642,-0.1008010680907877,-0.026298343195824025,0.004884029909614673
20230111,20230110,0,0,1,0,-0.006865337672904759,-0.03265494256133894,0.010581121934833737,-0.15620915032679739,-0.025967883175081696,0.0175670634301075
20230112,20230111,0,0,1,0,-0.008597568617621287,-0.028118215561313775,0.011288180610889764,-0.14727153188691655,-0.019689932489345918,0.02005820098785005
20230113,20230112,0,0,1,0,-0.012463616687812595,-0.03325827126277492,0.024534127246664594,-0.154320987654321,-0.02105710222565893,0.0374646894632753
20230116,20230113,0,0,1,0,-0.0022533800701051154,-0.019336148825520816,0.038070925134580325,-0.14630681818181823,-0.017121349663520746,0.040415376408409864
20230117,20230113,0,0,1,0,-0.0022533800701051154,-0.019336148825520816,0.038070925134580325,-0.14630681818181823,-0.017121349663520746,0.040415376408409864
20230118,20230117,1,0,1,0,0.020891615122038854,0.016793672577557928,0.06341074681238612,-0.18983957219251346,-0.004014081890554855,0.0416490164680845
20230119,20230118,1,0,1,0,0.021447021681843204,0.013236098450319034,0.05408040373917533,-0.1638907395069953,-0.00803852089950241,0.031948188564493885
20230120,20230119,1,0,1,0,0.022683016683332502,0.020018535681186167,0.058310563339340815,-0.13856655290102393,-0.0026053830548465884,0.03483733089804519
20230130,20230127,1,1,1,0,0.07704561142675082,0.1390234525182621,0.11171054946343761,-0.21034241788958763,0.05754430493376206,0.03218520893536381
20230131,20230130,1,1,1,0,0.04472668474859165,0.08943852274433262,0.06914498141263947,-0.18046709129511684,0.0427976413816793,0.0233729041485371
20230201,20230131,1,1,1,0,0.06288732578511103,0.10642932251765069,0.09818765771966032,-0.19830028328611893,0.04096576906717453,0.033211734751352306
20230202,20230201,1,1,1,0,0.07872485688776854,0.13777979431336962,0.12162629757785459,-0.21515368120085776,0.05474513454337249,0.039770512764358834
20230203,20230202,1,1,1,0,0.08604336043360439,0.17302626627530682,0.12964228753702423,-0.17634092578986027,0.08009155896590947,0.04014473886752845
20230206,20230203,1,1,1,0,0.08690495018187572,0.1705023319825676,0.13421234454168585,-0.17492711370262393,0.0769132404693742,0.04352486788462406
20230207,20230206,1,1,1,0,0.05604514533085969,0.12942708333333308,0.09325374479107995,-0.13432835820895528,0.06948750091501332,0.035233909861460244
20230208,20230207,1,1,1,0,0.07046356932913933,0.14541287794780788,0.0995052844614348,-0.1655530809205642,0.07001574903257968,0.027130035962359633
20230209,20230208,1,1,1,0,0.05138511956577396,0.11560312282373642,0.06764168190127973,-0.09682416731216115,0.06107942947155731,0.015462043387317381
20230210,20230209,1,1,1,0,0.029252629449838086,0.08693929021797864,0.039231779382797205,-0.07247494217424832,0.0560471347048932,0.009695530181247358
20230213,20230210,1,1,0,0,0.02791213220475619,0.07400107507615106,0.024108055749878954,-0.012976480129764822,0.04483743447267163,-0.003700779799843401
20230214,20230213,1,1,0,0,0.03595984943538255,0.08374559561519024,0.02967121090617475,-0.027454242928452555,0.04612702529528678,-0.0060703496690873715
20230215,20230214,1,1,0,0,0.03738341252482602,0.08954322653974556,0.030457124504871036,-0.06765676567656753,0.050280169689595144,-0.0066766905430822865
20230216,20230215,1,1,1,0,0.05744718894480072,0.11235065495897523,0.05799782372143625,-0.11792828685258971,0.05192076407046042,0.0005207208287962839
20230217,20230216,1,1,1,0,0.050535199670646236,0.10230783209158645,0.05800922874093617,-0.0744849445324881,0.049282149172318546,0.0071144965657818915
20230220,20230217,1,1,1,0,0.028746084672122807,0.06537427479835856,0.04372027669693046,-0.041084634346754356,0.035604694561641725,0.01455577061037383
20230221,20230217,1,1,1,0,0.028746084672122807,0.06537427479835856,0.04372027669693046,-0.041084634346754356,0.035604694561641725,0.01455577061037383
20230222,20230221,0,1,1,0,-0.0038439457853880477,0.01754568106312293,0.0005338173277105174,0.041390728476821126,0.021472164685456763,0.0043946559322474155
20230223,20230222,0,1,1,0,-0.004147926036981442,0.020390470575996078,0.005403092066548876,0.05254091300602948,0.024640604015942147,0.00959080003270163
20230224,20230223,1,1,1,0,0.0007743224678407046,0.031592117610259596,0.009762603360896405,0.013757523645743674,0.03079395069452251,0.008981326450194116
